seconds,positive,negative,anger,happy,fear,sad,excited,closeup,body,faces,num_chars,spoken_words,written_words,has_letters,brightness,saliency,sharpness,vibrance,loudness,tempo,motion
12.9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.190403422,0.253133681,0.939215686,52.27038302,0.052312577,117.4538352,69411.323
13,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.192006317,0.253310024,0.930718954,52.82363301,0.053588909,117.4538352,70112.75033
13.1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.188492876,0.255707465,0.925490196,52.02862542,0.052232263,117.4538352,88536.74
13.2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.188378255,0.255502347,0.91503268,52.00210834,0.054400261,117.4538352,49458.28533
13.3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.19137805,0.254965037,0.878431373,52.26364964,0.057968751,117.4538352,93690.988
13.4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.192221293,0.253127411,0.870588235,52.32614514,0.047156663,117.4538352,48719.92
13.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.199278608,0.253540541,0.973856209,53.94186989,0.051466315,119.3083695,91500.87033
13.6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.206600072,0.2527269,1,55.45179387,0.051770854,135.9991776,105942.065
13.7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.21615416,0.259771091,1,57.96122385,0.048075401,135.9991776,119604.5967
13.8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.217303523,0.258416522,1,58.13182506,0.049605761,135.9991776,94541.765
13.9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.212950355,0.257324701,1,57.10720968,0.04039436,135.9991776,124520.535
14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.214308543,0.255947949,1,57.41815283,0.044965205,135.9991776,143156.152
14.1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.218158189,0.25555435,1,57.91973771,0.071610681,135.9991776,109438.628
14.2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.206438752,0.252218364,1,55.32165688,0.057810498,135.9991776,151540.8667
14.3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.179988962,0.260513117,0.870588235,50.24593589,0.05662853,135.9991776,372465
14.4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.179235292,0.258046393,0.919607843,50.24414111,0.067053745,135.9991776,46328.08
14.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.181065081,0.260230678,0.878431373,50.44341082,0.064795763,135.9991776,70622.76667
14.6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.18208094,0.259356674,0.843137255,50.71437371,0.063755338,135.9991776,50551.047
14.7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.183993039,0.258687146,0.843137255,50.95983182,0.059363472,135.9991776,85611.32233
14.8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.19278607,0.253281009,0.91372549,52.04716741,0.06054862,135.9991776,110591.197
14.9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.192667313,0.25206766,0.91372549,52.11422529,0.064954087,135.9991776,58253.3455
15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.189635405,0.259510995,0.899346405,51.59212759,0.061654903,135.9991776,136912.7983
15.1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.178123064,0.260585696,0.941176471,49.83952814,0.05467566,135.9991776,132137.01
15.2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.17699032,0.267849312,0.955555556,49.59041295,0.05748823,135.9991776,78869.66033
15.3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.175858816,0.261421441,0.921568627,49.3557603,0.062949784,135.9991776,116388.548
15.4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.17827384,0.262710262,0.878431373,49.27693078,0.072720705,135.9991776,85345.54
