seconds,positive,negative,anger,happy,fear,sad,excited,closeup,body,faces,num_characters,spoken_words,written_words,letters,brightness,saliency,sharpness,vibrance,loudness,tempo,motion
7.4,1.5,2,3,3,0,0,0,0,1,1,2,1,0,0,0.348829222,0.13896985,0.922875817,528.7697584,0.034309749,117.4538352,451320.1167
7.5,1.5,2,3,3,0,0,0,0,1,1,2,1,0,0,0.347673559,0.138669951,0.918954248,523.8291299,0.055134058,117.4538352,62923.38067
7.6,1.5,2,3,3,0,0,0,0,1,1,2,1,0,0,0.347931137,0.137822706,0.97124183,524.2200949,0.053542176,117.4538352,50139.33267
7.7,1.5,2,3,3,0,0,0,0,1,1,2,1,0,0,0.348186927,0.137772532,0.875816993,526.3762298,0.106548174,119.8029119,131948.61
7.8,1.5,2,2,3,0,0,0,0,1,1,2,1,0,0,0.349346495,0.134654944,0.917647059,529.0318155,0.097075332,129.1992188,314442.8687
7.9,1.5,1.5,0.5,3,0,0,0,0,1,1,2,1,0,0,0.363248692,0.139309661,0.737254902,554.4701502,0.028948942,129.1992188,1010096.967
8,4.5,1.5,0.5,2.5,0,0,4.5,0,1,1,3,1,0,0,0.383308399,0.143078362,0.785620915,565.7664399,0.033832231,129.1992188,730262.189
8.1,3,1.5,0,2.5,0,0,1.5,0,1,1,3,1,0,0,0.357319282,0.138753193,0.916339869,508.1335391,0.042217227,129.1992188,450693.486
8.2,3,1,0,2.5,0,0,1.5,0,1,1,3,1,0,0,0.338846845,0.136913884,0.921568627,455.5654209,0.097714911,129.1992188,158652.8767
8.3,3,0,0,2,0,0,2,0,1,1,3,1,0,0,0.340020874,0.139305099,0.921568627,455.5546058,0.031255748,129.1992188,32536.09357
8.4,3,0,0,2,0,0,3,0,1,1,3,1,0,0,0.336943957,0.14729064,0.947712418,537.411122,0.048018956,129.1992188,822512.05
8.5,5.5,1,0.5,2,0,0,11.5,0,1,1,3,1,0,0,0.330834138,0.156710682,1,701.9741098,0.053540704,129.1992188,73590.12469
8.6,5.5,1,0.5,2,0,0,11.5,0,1,1,3,1,0,0,0.330164476,0.1698789,1,700.8664822,0.130499883,129.1992188,120263.5911
8.7,5.5,1,0.5,1,0,0,11.5,0,1,1,3,1,0,0,0.328808164,0.167036125,1,698.9744942,0.076180315,129.1992188,130280.3533
8.8,5.5,1,0.5,1,0,0,11.5,0,1,1,3,1,0,0,0.327711215,0.161363118,1,699.6021879,0.050663273,129.1992188,99823.6002
8.9,6,1,0.5,1.5,0,0,13.5,0,1,1,3,1,0,0,0.327232413,0.163187603,1,701.9903781,0.052377581,129.1992188,322576.2567
9,6,1,0.5,0,0,0,15,0,1,1,3,1,0,0,0.325819735,0.165697409,1,696.2282886,0.082744247,129.1992188,119291.0127
9.1,6,1,1.5,0,0,0,16.5,0,1,1,3,1,0,0,0.323887793,0.169142264,1,682.472038,0.028033181,129.1992188,109914.878
9.2,6,1,1.5,0,0,0,16.5,0,1,1,3,1,0,0,0.323553962,0.186100848,1,675.836662,0.045035571,129.1992188,179433.15
9.3,6,1,1.5,0,0,0,16.5,0,1,1,3,1,0,0,0.323232481,0.187224047,1,676.2871721,0.02485444,129.1992188,92275.53087
9.4,6,1,1.5,0,0,0,16.5,0,1,1,3,1,0,0,0.323454679,0.185398422,1,675.7670648,0.018261748,129.1992188,91733.71333
9.5,6,1,1.5,0,0,0,16.5,0,1,1,3,1,0,0,0.32413942,0.188529693,1,676.9526825,0.043574961,129.1992188,40244.91067
9.6,6,1,1.5,0,0,0,16.5,0,1,1,3,1,0,0,0.324543602,0.179305784,1,681.2933348,0.023661446,129.1992188,38614.517
9.7,6,1,1.5,0,0,0,16.5,0,1,1,3,1,0,0,0.324234204,0.180059524,1,684.5429329,0.04790177,129.1992188,95983.42833
9.8,6,1,1.5,0,0,0,15,0,1,1,3,1,0,0,0.323155012,0.175086663,1,689.2134999,0.028678531,129.1992188,76156.1765
9.9,6,1,1.5,0,0,0,15,0,1,1,3,1,0,0,0.322605927,0.161900201,1,691.4570473,0.023852165,129.1992188,63726.44333
10,6,1,1.5,0,0,0,15,0,1,1,3,1,0,0,0.322268912,0.16159802,1,688.6600253,0.019404998,129.1992188,43329.76487
10.1,6,1,2,0,0,0,15,0,1,1,3,1,0,0,0.324509495,0.171118409,0.91372549,688.2895105,0.046210604,129.1992188,50317.19133
10.2,6,1,2,0,0,0,15,0,1,1,3,1,0,0,0.326858904,0.175606641,0.912418301,688.5899995,0.059504102,129.1992188,192153.1333
10.3,6,1,2,0,0,0,15,0,1,1,3,1,0,0,0.326944592,0.178720808,0.874509804,684.267474,0.040788969,129.1992188,221565.2053
10.4,6,1,2,0,0,0,15,0,1,1,3,1,0,0,0.325987981,0.19047391,0.920261438,676.1642404,0.052753887,129.1992188,479747.0133
10.5,6,1,2,0,0,0,15,0,1,1,3,1,0,0,0.323618686,0.194220945,0.875816993,663.2919586,0.036800658,129.1992188,365028.6957
10.6,6,1,2,0,0,0,15,0,1,1,3,1,0,0,0.321339735,0.209762133,0.91503268,653.7454849,0.038535156,128.5839844,332638.1567
10.7,6,1,2,0,0,0,16.5,0,1,1,3,1,0,0,0.320318359,0.202432266,0.909803922,644.812463,0.069082139,123.046875,527429.9167
10.8,6,1,2,0,0,0,16.5,0,1,1,3,1,0,0,0.318543739,0.188533114,0.920261438,635.4096753,0.026580518,123.046875,309980.682
10.9,6,1,2,0,0,0,16.5,0,1,1,3,1,0,0,0.318355536,0.162566138,0.920261438,628.6841326,0.038487006,123.046875,491981.5067
11,6,1,2,0,0,0,16.5,0,1,1,3,1,0,0,0.316272171,0.153739053,0.891503268,622.239736,0.065793768,123.046875,378562.3137
11.1,6,1,2,0,0,0,16.5,0,1,1,3,1,0,0,0.312412384,0.147367041,0.871895425,619.559725,0.090057613,123.046875,416830.9793
